LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
4.0641,1,1.3446,7.9505,18.0108,0.653,2.1178,12.8952,3.9125,46.7814,-0.0801,Act1
3.513,1,1.3917,7.6071,18.0108,0.6972,2.0645,10.2228,3.7067,58.189,0.1489,Act-1
1.7732,1,1.3266,7.7533,32.8972,0.6551,2.0837,7.1595,3.6788,41.4982,-0.0367,Act1
3.3784,1,1.2854,7.6358,0.0,0.6638,2.0193,9.6359,3.7071,79.5928,-0.2171,Act1
2.8657,1,1.293,7.7667,42.6833,0.674,2.0155,8.9853,3.7071,68.7189,-0.152,Act1
2.5604,1,1.2895,7.5652,50.9079,0.6765,2.0621,8.1232,3.6647,19.7343,-0.0242,Act-1
3.5042,1,1.3494,7.4907,18.0108,0.7259,2.015,4.6955,3.4441,13.6238,-0.0748,Act1
4.0687,1,1.4497,7.6857,95.3679,0.6558,2.0651,11.4969,4.0144,55.4691,0.1905,Act-1
3.2268,1,1.3339,8.3067,34.4157,0.7144,2.0937,6.2608,3.913,35.8307,0.0731,Act1
2.7074,1,1.3325,8.2645,34.4157,0.6918,2.0938,6.042,3.8692,32.3301,0.0155,Act1
2.8818,1,1.3325,8.3563,34.4157,0.7253,2.0914,5.9064,3.8692,32.6451,0.0452,Act1
3.234,1,1.4495,8.143,81.3192,0.711,2.0664,8.3598,3.9003,37.9611,0.0389,Act1
3.7472,1,1.3947,7.5977,18.0108,0.6907,2.0305,10.7453,3.7443,56.5121,0.0836,Act1
4.1702,1,1.4391,7.5679,36.0215,0.6817,2.0729,11.8146,3.6926,34.5973,0.0901,Act1
3.9842,1,1.5068,7.7794,70.6953,0.7359,2.0209,10.2245,4.4023,65.0433,-0.0487,Act1
5.0205,1,1.3602,7.4948,0.0,0.6985,2.065,12.3131,3.942,105.6419,-0.1797,Act1
3.8077,1,1.4199,7.6406,18.0108,0.6433,2.147,10.5832,3.6761,42.4727,-0.0077,Act1
1.5845,1,1.3506,7.8409,42.6833,0.6457,2.1404,5.5761,3.3751,26.2736,0.1209,Act1
5.6407,1,1.4452,8.2044,0.0,0.7978,2.0472,6.5431,3.8941,73.968,-0.0111,Act1
3.7898,1,1.421,7.6543,18.0108,0.6512,2.0305,10.3913,3.9123,39.6759,-0.2117,Act1
4.5354,1,1.4257,7.7849,18.0108,0.6676,2.054,13.1338,3.9123,46.8923,-0.171,Act1
4.3929,1,1.4343,7.7586,0.0,0.6408,2.1063,11.1805,3.8154,33.3517,0.1263,Act1
4.5701,1,1.5471,7.922,34.4157,0.7353,2.0619,10.7195,3.9769,53.104,0.049,Act1
